short_name,iso_name,hazard_mosaic,risk_mosaic,country_name,error_status
Algeria,DZA,NAF,Africa,Algeria,0
Egypt,EGY,NAF,Africa,Egypt,0
Libya,LBY,NAF,Africa,Libya,0
Morocco,MAR,NAF,Africa,Morocco,0
Sudan,SDN,SSA,Africa,Sudan,0
Tunisia,TUN,NAF,Africa,Tunisia,0
Western Sahara,ESH,,Africa,Western_Sahara,1
Burundi,BDI,SSA,Africa,Burundi,0
Comoros,COM,,Africa,Comoros,1
Djibouti,DJI,SSA,Africa,Djibouti,0
Eritrea,ERI,SSA,Africa,Eritrea,0
Ethiopia,ETH,SSA,Africa,Ethiopia,0
Kenya,KEN,SSA,Africa,Kenya,0
Madagascar,MDG,SSA,Africa,Madagascar,0
Malawi,MWI,SSA,Africa,Malawi,0
Mauritius,MUS,,Africa,Mauritius,1
Mayotte,MYT,,Africa,Mayotte,1
Mozambique,MOZ,SSA,Africa,Mozambique,0
Réunion,REU,,Africa,Réunion,1
Rwanda,RWA,SSA,Africa,Rwanda,0
Seychelles,SYC,,Africa,Seychelles,1
Somalia,SOM,SSA,Africa,Somalia,0
South Sudan,SSD,SSA,Africa,South_Sudan,0
Uganda,UGA,SSA,Africa,Uganda,0
Tanzania,TZA,SSA,Africa,Tanzania,0
Zambia,ZMB,SSA,Africa,Zambia,0
Zimbabwe,ZWE,SSA,Africa,Zimbabwe,0
Angola,AGO,WAF,Africa,Angola,0
Cameroon,CMR,WAF,Africa,Cameroon,0
Central African Republic,CAF,WAF,Africa,Central_African_Republic,0
Chad,TCD,,Africa,Chad,1
Congo,COG,WAF,Africa,Congo,0
Democratic Republic of the Congo,COD,DRC,Africa,Democratic_Republic_of_the_Congo,0
Equatorial Guinea,GNQ,WAF,Africa,Equatorial_Guinea,0
Gabon,GAB,WAF,Africa,Gabon,0
São Tomé and Príncipe,STP,,Africa,São_Tomé_and_Príncipe,1
Botswana,BWA,SSA,Africa,Botswana,0
Lesotho,LSO,ZAF,Africa,Lesotho,0
Namibia,NAM,WAF,Africa,Namibia,0
South Africa,ZAF,ZAF,Africa,South_Africa,0
Eswatini,SWZ,ZAF,Africa,Eswatini,0
Benin,BEN,WAF,Africa,Benin,0
Burkina Faso,BFA,,Africa,Burkina_Faso,1
Cape Verde,CPV,,Africa,Cape_Verde,1
Côte d'Ivoire,CIV,WAF,Africa,Côte_d'Ivoire,0
Gambia,GMB,WAF,Africa,Gambia,0
Ghana,GHA,WAF,Africa,Ghana,0
Guinea,GIN,WAF,Africa,Guinea,0
Guinea-Bissau,GNB,WAF,Africa,Guinea-Bissau,0
Liberia,LBR,WAF,Africa,Liberia,0
Mali,MLI,WAF,Africa,Mali,0
Mauritania,MRT,MAU,Africa,Mauritania,0
Niger,NER,,Africa,Niger,1
Nigeria,NGA,WAF,Africa,Nigeria,0
Saint Helena,SHN,,Africa,Saint_Helena,1
Senegal,SEN,WAF,Africa,Senegal,0
Sierra Leone,SLE,WAF,Africa,Sierra_Leone,0
Togo,TGO,WAF,Africa,Togo,0
Anguilla,AIA,CCA,Caribbean_Central_America,Anguilla,0
Antigua and Barbuda,ATG,CCA,Caribbean_Central_America,Antigua_and_Barbuda,0
Aruba,ABW,CCA,Caribbean_Central_America,Aruba,0
Bahamas,BHS,CCA,Caribbean_Central_America,Bahamas,0
Barbados,BRB,CCA,Caribbean_Central_America,Barbados,0
"Bonaire, Sint Eustatius and Saba",BES,CCA,Caribbean_Central_America,"Bonaire,_Sint_Eustatius_and_Saba",0
British Virgin Islands,VGB,CCA,Caribbean_Central_America,British_Virgin_Islands,0
Cayman Islands,CYM,CCA,Caribbean_Central_America,Cayman_Islands,0
Cuba,CUB,CCA,Caribbean_Central_America,Cuba,0
Curaçao,CUW,CCA,Caribbean_Central_America,Curaçao,0
Dominica,DMA,CCA,Caribbean_Central_America,Dominica,0
Dominican Republic,DOM,CCA,Caribbean_Central_America,Dominican_Republic,0
Grenada,GRD,CCA,Caribbean_Central_America,Grenada,0
Guadeloupe,GLP,CCA,Caribbean_Central_America,Guadeloupe,0
Haiti,HTI,CCA,Caribbean_Central_America,Haiti,0
Jamaica,JAM,CCA,Caribbean_Central_America,Jamaica,0
Martinique,MTQ,CCA,Caribbean_Central_America,Martinique,0
Montserrat,MSR,CCA,Caribbean_Central_America,Montserrat,0
Puerto Rico,PRI,CCA,Caribbean_Central_America,Puerto_Rico,0
Saint Kitts and Nevis,KNA,CCA,Caribbean_Central_America,Saint_Kitts_and_Nevis,0
Saint Lucia,LCA,CCA,Caribbean_Central_America,Saint_Lucia,0
Saint Vincent and the Grenadines,VCT,CCA,Caribbean_Central_America,Saint_Vincent_and_the_Grenadines,0
Saint-Barthélemy,BLM,CCA,Caribbean_Central_America,Saint-Barthélemy,0
Saint-Martin (French part),MAF,CCA,Caribbean_Central_America,Saint-Martin_(French_part),0
Sint Maarten (Dutch part),SXM,CCA,Caribbean_Central_America,Sint_Maarten_(Dutch_part),0
