index,lon,lat,taxonomy,number,structural,night,ID_3,col,row,wp,geometry,ID_0,NAME_0,ID_1,NAME_1,ID_2,NAME_2,NAME_3,count,dist,id,occupancy
0,-7.9489148599999995,38.618498366,CR/LFINF+CDL/H:1/5.0,2.0,179631.52817518247,4.551104913868614,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_0,Res
1,-7.9489148599999995,38.618498366,CR/LFINF+CDM/H:1/8.0,6.0,560481.2868513854,14.200230686146094,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_1,Res
2,-7.9489148599999995,38.618498366,CR/LFINF+CDM/H:2/8.0,13.0,1759925.2064923355,44.58907819567177,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_2,Res
3,-7.9489148599999995,38.618498366,CR/LFINF+CDN/H:1,1.0,91275.83727272727,2.31254455,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_3,Res
4,-7.9489148599999995,38.618498366,MUR/LWAL+CDN/H:1,1.0,77321.28,2.164935323568182,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_4,Res
5,-7.9489148599999995,38.618498366,MUR/LWAL+CDN/H:1/FW,2.0,167665.09136842104,4.6944913326315785,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_5,Res
6,-7.9405848599999995,38.618498366,CR/LFINF+CDL/H:1/5.0,2.0,179631.52817518247,4.551104913868614,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_6,Res
7,-7.9405848599999995,38.618498366,CR/LFINF+CDM/H:2/8.0,2.0,270757.7240757439,6.8598581839495045,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_7,Res
8,-7.9405848599999995,38.618498366,MUR/LWAL+CDN/H:1,1.0,77321.28,2.164935323568182,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_8,Res
9,-7.9405848599999995,38.618498366,MUR/LWAL+CDN/H:1/FC,1.0,84177.35408866995,2.3569000321182267,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_9,Res
10,-7.93225486,38.618498366,CR/LFINF+CDM/H:1,1.0,85449.72,2.1649353235,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_10,Res
11,-7.93225486,38.618498366,CR/LFINF+CDM/H:1/8.0,1.0,93413.54780856422,2.3667051143576825,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_11,Res
12,-7.93225486,38.618498366,CR/LFINF+CDM/H:2/8.0,8.0,1083030.8963029757,27.439432735798018,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_12,Res
13,-7.93225486,38.618498366,CR/LFINF+CDN/H:1,1.0,91275.83727272727,2.31254455,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_13,Res
14,-7.93225486,38.618498366,MUR/LWAL+CDN/H:1/FC,2.0,168354.7081773399,4.7138000642364535,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_14,Res
15,-7.93225486,38.618498366,MUR/LWAL+CDN/H:4/FC,1.0,451040.80000000005,12.628789386666666,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_15,Res
16,-7.93225486,38.626828366,CR/LFINF+CDL/H:1/5.0,1.0,89815.76408759123,2.275552456934307,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_16,Res
17,-7.93225486,38.626828366,CR/LFINF+CDL/H:2/5.0,1.0,112433.84210526316,2.8485991105263158,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_17,Res
18,-7.93225486,38.626828366,CR/LFINF+CDM/H:1/8.0,1.0,93413.54780856422,2.3667051143576825,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_18,Res
19,-7.93225486,38.626828366,CR/LFINF+CDM/H:2/8.0,3.0,406136.5861136159,10.289787275924256,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_19,Res
20,-7.93225486,38.626828366,CR/LFINF+CDM/H:3/8.0,1.0,222440.54095238095,5.635704652380953,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_20,Res
21,-7.93225486,38.626828366,MUR/LWAL+CDN/H:1,2.0,154642.56,4.329870647136364,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_21,Res
22,-7.93225486,38.626828366,MUR/LWAL+CDN/H:1/FC,1.0,84177.35408866995,2.3569000321182267,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_22,Res
23,-7.93225486,38.626828366,MUR/LWAL+CDN/H:1/FW,2.0,167665.09136842104,4.6944913326315785,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_23,Res
24,-7.93225486,38.626828366,MUR/LWAL+CDN/H:2,1.0,123714.048,3.463896518,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_24,Res
25,-7.92392486,38.601838365999996,CR/LFINF+CDL/H:1/5.0,1.0,89815.76408759123,2.275552456934307,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_25,Res
26,-7.92392486,38.601838365999996,CR/LFINF+CDM/H:1/8.0,1.0,93413.54780856422,2.3667051143576825,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_26,Res
27,-7.92392486,38.601838365999996,CR/LFINF+CDM/H:2/8.0,1.0,135378.86203787196,3.4299290919747523,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_27,Res
28,-7.92392486,38.610168365999996,CR/LFINF+CDL/H:1/5.0,1.0,89815.76408759123,2.275552456934307,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_28,Res
29,-7.92392486,38.610168365999996,CR/LFINF+CDL/H:2/5.0,1.0,112433.84210526316,2.8485991105263158,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_29,Res
30,-7.92392486,38.610168365999996,CR/LFINF+CDM/H:1/8.0,1.0,93413.54780856422,2.3667051143576825,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_30,Res
31,-7.92392486,38.610168365999996,CR/LFINF+CDM/H:2,2.0,438795.8594594595,11.117235445945946,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Res_31,Res
